State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
MA,,2,8009,1,20001,GLUCAGON F,,,,,,,,,93,54,4746.46,0,0,,,
MA,,2,8009,1,20002,GLUCAGON F,,,,,,,,,89,65,4689.95,0,0,,,
MA,,2,8009,1,20003,GLUCAGON F,,,,,,,,,72,51,3711.52,0,0,,,
MA,,2,8009,1,20004,GLUCAGON F,,,,,,,,,30,19,1556.08,0,0,,,
MA,,2,8030,1,20001,GLUCAGON F,,,,,,,,,67,54,2548.59,0,0,,,
MA,,2,8030,1,20002,GLUCAGON F,,,,,,,,,55,33,2043.17,0,0,,,
MA,,2,8030,1,20003,GLUCAGON F,,,,,,,,,80,45,2963.75,0,0,,,
MA,,2,8030,1,20004,GLUCAGON F,,,,,,,,,42,28,1598.82,0,0,,,
MA,,2,8031,1,20001,GLUCAGON F,Brand,20928,,NoTE,,,,,510,306,30654.84,0,0,,,
MA,,2,8031,1,20002,GLUCAGON F,Brand,20928,,NoTE,,,,,519,336,30459.83,0,0,,,
MA,,2,8031,1,20003,GLUCAGON F,Brand,20928,,NoTE,,,,,665,410,38494.16,0,0,,,
MA,,2,8031,1,20004,GLUCAGON F,Brand,20928,,NoTE,,,,,750,452,44347.59,0,0,,,
MA,,2,8085,1,20001,GLUCAGON F,,,,,,,,,233,147,12383.25,0,0,,,
MA,,2,8085,1,20002,GLUCAGON F,,,,,,,,,260,164,15645.14,0,0,,,
MA,,2,8085,1,20003,GLUCAGON F,,,,,,,,,224,163,13502.88,0,0,,,
MA,,2,8085,1,20004,GLUCAGON F,,,,,,,,,265,174,15680.56,0,0,,,
MA,,2,8239,1,20001,GLUCAGON F,,,,,,,,,18,13,987.9,0,0,,,
MA,,2,8239,1,20002,GLUCAGON F,,,,,,,,,20,11,1042.29,0,0,,,
MA,,2,8239,1,20003,GLUCAGON F,,,,,,,,,23,12,1249.4,0,0,,,
MA,,2,8239,1,20004,GLUCAGON F,,,,,,,,,12,9,660.6,0,0,,,
MA,,2,7217,1,20001,HEPARIN SO,,,,,,,,,20,2,104.3,0,0,,,
MA,,2,7217,1,20002,HEPARIN SO,,,,,,,,,149,5,774.06,0,0,,,
MA,,2,7217,1,20003,HEPARIN SO,,,,,,,,,65,6,337.62,0,0,,,
MA,,2,7510,1,20001,HUMALOG   ,Brand,20563,,noTE,,,,,27381,1692,79767.52,0,0,,,
MA,,2,7510,1,20002,HUMALOG   ,Brand,20563,,noTE,,,,,30745,1903,91044.49,0,0,,,
MA,,2,7510,1,20003,HUMALOG   ,Brand,20563,,noTE,,,,,32780,2033,100411.55,0,0,,,
MA,,2,7510,1,20004,HUMALOG   ,Brand,20563,,noTE,,,,,36820,2221,111462.24,0,0,,,
MA,,2,7515,59,20001,HUMALOG CA,,,,,,,,,848,53,3114.52,0,0,,,
MA,,2,7515,59,20002,HUMALOG CA,,,,,,,,,640,47,2444.12,0,0,,,
MA,,2,7515,59,20003,HUMALOG CA,,,,,,,,,718,55,3035.07,0,0,,,
MA,,2,7515,59,20004,HUMALOG CA,,,,,,,,,718,57,3008.58,0,0,,,
MA,,2,8794,59,20002,HUMALOG MI,Brand,21017,,NoTE,,,,,1978,111,10231.97,0,0,,,
MA,,2,8794,59,20003,HUMALOG MI,Brand,21017,,NoTE,,,,,7022,362,35734.39,0,0,,,
MA,,2,8794,59,20004,HUMALOG MI,Brand,21017,,NoTE,,,,,13287,674,68235.55,0,0,,,
MA,,2,8725,59,20001,HUMALOG PE,Brand,20563,,NoTE,,,,,5235,287,25232.32,0,0,,,
MA,,2,8725,59,20002,HUMALOG PE,Brand,20563,,NoTE,,,,,5067,286,25442.64,0,0,,,
MA,,2,8725,59,20003,HUMALOG PE,Brand,20563,,NoTE,,,,,5782,320,27482.38,0,0,,,
MA,,2,8725,59,20004,HUMALOG PE,Brand,20563,,NoTE,,,,,6024,328,29237.88,0,0,,,
MA,,2,7335,1,20003,HUMATROPE ,Brand,19640,,NoTE,,,,,109,27,19255.6,0,0,,,
MA,,2,7335,1,20004,HUMATROPE ,Brand,19640,,NoTE,,,,,45,12,7991.42,0,0,,,
